epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1521.16,0.5771,0.79767,1.1999,0.89067,0.8814,0.93589,0.81292,0.55679,0.61131,1.32447,0.007921,0.007921,0.007921
44,1556.34,0.56838,0.79354,1.20408,0.8005,0.83316,0.91283,0.71698,0.86991,0.97161,2.04376,0.0078715,0.0078715,0.0078715
45,1591.54,0.57319,0.7809,1.19697,0.79106,0.85925,0.9246,0.79138,0.56858,0.76219,1.32804,0.007822,0.007822,0.007822
46,1626.73,0.5669,0.76207,1.18636,0.9081,0.91663,0.9653,0.84271,0.54702,0.49636,1.3014,0.0077725,0.0077725,0.0077725
47,1662,0.55807,0.7633,1.18516,0.83218,0.91623,0.96649,0.84533,0.54276,0.58092,1.30384,0.007723,0.007723,0.007723
48,1697.13,0.55916,0.74891,1.18424,0.88714,0.8815,0.95669,0.83357,0.56426,0.6528,1.38068,0.0076735,0.0076735,0.0076735
49,1732.44,0.56403,0.73011,1.19173,0.88203,0.88343,0.95072,0.77041,0.78388,0.71588,1.85302,0.007624,0.007624,0.007624
50,1767.65,0.55025,0.7337,1.17978,0.92438,0.91757,0.96885,0.85858,0.52544,0.52436,1.28188,0.0075745,0.0075745,0.0075745
51,1802.86,0.55461,0.71764,1.18431,0.90794,0.89093,0.95869,0.83065,0.56719,0.58458,1.35096,0.007525,0.007525,0.007525
52,1837.97,0.54311,0.69692,1.17799,0.88227,0.90419,0.95593,0.82568,0.57389,0.6998,1.36621,0.0074755,0.0074755,0.0074755
53,1873.21,0.54753,0.72276,1.1765,0.90077,0.87444,0.97033,0.85326,0.53078,0.58002,1.28036,0.007426,0.007426,0.007426
54,1908.43,0.54334,0.70474,1.1743,0.92798,0.91203,0.97148,0.80982,0.73405,0.5525,1.68708,0.0073765,0.0073765,0.0073765
55,1943.61,0.53702,0.69133,1.16883,0.91256,0.9546,0.97469,0.8606,0.53635,0.48306,1.27728,0.007327,0.007327,0.007327
56,1978.69,0.53654,0.69171,1.17598,0.9243,0.88582,0.97056,0.85439,0.5362,0.51882,1.29505,0.0072775,0.0072775,0.0072775
